USER_ID,memberClass
8120125224640029423,Default_memberClass
-8997174881451465988,Gold
3602718016963732378,Default_memberClass
6212763696935475375,Gold
-4925871864349442642,Default_memberClass
6631403573584542461,Default_memberClass
1548559059496594397,Default_memberClass
-3356667049466598448,Default_memberClass
6418736681056630111,Default_memberClass
-6963191411433589110,Default_memberClass
6957534426011455000,Default_memberClass
9214887185790598262,Gold
-2993905251124127743,Default_memberClass
-916376169174235262,Default_memberClass
-1310472891842528314,Default_memberClass
-774960808304592454,Default_memberClass
514258882116369235,Default_memberClass
-6558894746376914310,Default_memberClass
2693516647609159644,Default_memberClass
-8633461294494895210,Gold
-3136508758393350565,Gold
-2073219511770804071,Default_memberClass
-6104064288230304014,Default_memberClass
1702322807501882135,Default_memberClass
5579072320682288533,Default_memberClass
-8475733453462365575,Default_memberClass
-1098453511225225672,Default_memberClass
5394929380243395994,Gold
9061783342858724561,Gold
6058516199527623833,Default_memberClass
-4461336070834119002,Default_memberClass
6500623558240966294,Default_memberClass
7007304401149082663,Default_memberClass
-6310944521880162492,Default_memberClass
1334107503402795039,Gold
-1258714288972149014,Default_memberClass
4497020786291315884,Default_memberClass
6442102801289014753,Default_memberClass
-1829433983521823609,Default_memberClass
-6453494457334352972,Default_memberClass
8806861981386038775,Default_memberClass
-537000895375083785,Default_memberClass
-95231152627876048,Default_memberClass
-5445797788193460831,Default_memberClass
-3177027232674178756,Gold
1471655901823144894,Default_memberClass
6524276890835746118,Default_memberClass
80430150423314604,Default_memberClass
-3752706566449069680,Default_memberClass
4185073678213018193,Default_memberClass
-9059354790755481244,Default_memberClass
1527496036666844257,Default_memberClass
-3032063826131541694,Default_memberClass
6723010429730266193,Default_memberClass
1769418996242406107,Default_memberClass
4918437215130002411,Gold
4742021583607707413,Default_memberClass
-2264405045881887279,Default_memberClass
-551272246294088812,Default_memberClass
-3555101996466993809,Gold
4449915264582476178,Default_memberClass
-405010968591561115,Default_memberClass
-8291720782970729191,Default_memberClass
-8476582366482014466,Default_memberClass
-9214552566516404785,Default_memberClass
-3224687271259626722,Default_memberClass
-8636863926271093100,Default_memberClass
1158313390250969549,Default_memberClass
-1153268213552321445,Default_memberClass
-4144421894399985425,Default_memberClass
-956191483669230767,Default_memberClass
3584540671719976751,Default_memberClass
-7080065813723350953,Default_memberClass
-8987325508664692171,Default_memberClass
3437255001328306835,Gold
3818652639538407375,Gold
-5674212312895603484,Gold
-8199507331965397997,Default_memberClass
-1656623426989714616,Default_memberClass
-1640490302778079699,Default_memberClass
-4925369299602308863,Default_memberClass
-8224155151786790108,Default_memberClass
-3063605011265743526,Default_memberClass
3582862146338297399,Default_memberClass
5695497069725225592,Default_memberClass
6284285456156856714,Default_memberClass
8468047115644213423,Default_memberClass
7932244827281490786,Default_memberClass
-4185853540916182444,Default_memberClass
3666156199364180079,Gold
-8743666381933564541,Default_memberClass
-4578619368145894009,Default_memberClass
3681108186101843327,Gold
-4444307815492391887,Default_memberClass
8752228038288135682,Default_memberClass
-5363380732092752899,Default_memberClass
-4234862968370355397,Default_memberClass
8137258186102486703,Gold
-648487674799116367,Default_memberClass
7225441123108111002,Default_memberClass
2845935915871779213,Default_memberClass
-4734046111188422170,Default_memberClass
7661781465126250590,Gold
7182793234032547657,Default_memberClass
1971080775657247796,Gold
7389325117107870587,Default_memberClass
-1327264102864078283,Default_memberClass
-8194176796224482708,Default_memberClass
6585624398838438755,Default_memberClass
8350002255699128685,Default_memberClass
3640983969919522983,Gold
-234134520593408208,Default_memberClass
-9046898690758676365,Default_memberClass
4259329881859884461,Default_memberClass
-1010224136522696534,Default_memberClass
9029547988510462420,Default_memberClass
5322350646706571689,Default_memberClass
-3700411948130572176,Default_memberClass
-5817756672301470082,Default_memberClass
-141927288251268057,Default_memberClass
5724792399307154555,Default_memberClass
-6033969651202178384,Default_memberClass
8254380359898679279,Gold
-5322633622026255816,Default_memberClass
1007992689777923252,Default_memberClass
8300365450963510301,Default_memberClass
-3376058056650233059,Default_memberClass
-6523684050691668210,Default_memberClass
429683938081222779,Default_memberClass
-4048228341002250141,Default_memberClass
-1689446741171823563,Default_memberClass
6322711482015950252,Silver
-1333760466771999477,Default_memberClass
-6557756605037335821,Default_memberClass
5367693848844487115,Default_memberClass
-5896808840774456063,Default_memberClass
-8798356855870374753,Default_memberClass
-950305199609147778,Default_memberClass
8217196607230701626,Default_memberClass
4252810556589306231,Default_memberClass
-4949467839717911441,Default_memberClass
5563208394772682736,Default_memberClass
-2111271958585844708,Default_memberClass
-345576943967647261,Default_memberClass
2854813148898234388,Default_memberClass
-1809621985302383854,Default_memberClass
3147935677630087893,Default_memberClass
-3215241462848474654,Default_memberClass
8181525112752326088,Gold
2935715282887708124,Default_memberClass
-1897699202852076283,Default_memberClass
-8499065613006390026,Default_memberClass
-1763138643105110567,Default_memberClass
-5096763619281002993,Default_memberClass
-8218734131697308565,Default_memberClass
-4584167674196226332,Silver
-3807521122615164092,Default_memberClass
-1002794980101659876,Default_memberClass
-5295309046939481869,Default_memberClass
7403914673856315110,Default_memberClass
-1469223629517933347,Default_memberClass
6116969887681672190,Default_memberClass
7464316057646514797,Gold
-5870370553554814409,Default_memberClass
-5080045776580213843,Default_memberClass
-7580312340623975473,Default_memberClass
-3416388929057353644,Default_memberClass
4473190740922406818,Default_memberClass
-3134826284081893513,Default_memberClass
-2297664153256623676,Gold
-3080088736366628454,Default_memberClass
-7867258287558669741,Default_memberClass
-6827321274998377830,Default_memberClass
1161911197368685930,Default_memberClass
-8526222977560773786,Gold
-6605552637261572867,Default_memberClass
